"{item:$subject} commented on {item:$owner}'s {var:$listingtype} listing {item:$object:$title}: {body:$body}";"{item:$subject} commented on {item:$owner}'s bath item listing {item:$object:$title}: {body:$body}"
"{item:$subject} replied to a comment on {item:$owner}'s {var:$listingtype} listing {item:$object:$title}: {body:$body}";"{item:$subject} replied to a comment on {item:$owner}'s bath item listing {item:$object:$title}: {body:$body}"
"You can also choose the photo snapshot for the video displayed in the slideshow by using 'Video Snapshot' option.";"You can also choose the photo snapshot for the video displayed in the slideshow by using 'Video Snapshot' option."
"posted by";"posted by"
"Popular Tags";"Popular Tags"
"Popular Tags (%s)";"Popular Tags (%s)"
"Note: Users will not be able to create listings in '%s', until you have created atleast one category. Please create some categories from the Admin Panel for this listing type to enable users to create listings.";"Note: Users will not be able to create listings in '%s', until you have created atleast one category. Please create some categories from the Admin Panel for this listing type to enable users to create listings."
"Sorry, you can not post a new listing right now. Please try again after sometime or contact us by filling the 'Contact Us' form using the 'Contact' link available in the footer of our site.";"Sorry, you can not post a new listing right now. Please try again after sometime or contact us by filling the 'Contact Us' form using the 'Contact' link available in the footer of our site."
"There are currently no paid packages available of the site. Please upgrade your package.";"There are currently no paid packages available of the site. Please upgrade your package."
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_NEW_LISTTYPE_21";"Multiple Listing Types - When a new bath item is posted."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_NEW_LISTTYPE_21";"New bath item"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_PHOTO_UPLOAD_LISTTYPE_21";"Multiple Listing Types - When someone uploads a photo to bath item."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_PHOTO_UPLOAD_LISTTYPE_21";"Uploading a photo to bath item"
"ADMIN_ACTIVITY_TYPE_VIDEO_SITEREVIEW_LISTTYPE_21";"Multiple Listing Types - When someone uploads a video to bath item."
"_ACTIVITY_ACTIONTYPE_VIDEO_SITEREVIEW_LISTTYPE_21";"Uploading a video to bath item"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_VIDEO_NEW_LISTTYPE_21";"Multiple Listing Types - When someone uploads a video to bath item."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_VIDEO_NEW_LISTTYPE_21";"Uploading a video to bath item"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_REVIEW_ADD_LISTTYPE_21";"Multiple Listing Types - When someone write a review on bath item."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_REVIEW_ADD_LISTTYPE_21";"Writing a new bath item review"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_TOPIC_CREATE_LISTTYPE_21";"Multiple Listing Types - When someone creates a new bath item topic."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_TOPIC_CREATE_LISTTYPE_21";"Creating bath item discussion topic"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_TOPIC_REPLY_LISTTYPE_21";"Multiple Listing Types - When someone replies to bath item topic."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_TOPIC_REPLY_LISTTYPE_21";"Replying to bath item discussion topic"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_CHANGE_PHOTO_LISTTYPE_21";"Multiple Listing Types - When bath item Owner change their bath item profile photo as User."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_CHANGE_PHOTO_LISTTYPE_21";"When bath item Owner change their bath item profile photo as User"
"ADMIN_ACTIVITY_TYPE_SITEREVIEW_WISHLIST_ADD_LISTING_LISTTYPE_21";"Multiple Listing Types - When someone adds bath item in wishlist."
"_ACTIVITY_ACTIONTYPE_SITEREVIEW_WISHLIST_ADD_LISTING_LISTTYPE_21";"Adding bath item to wishlist"
"{item:$subject} posted a new bath item listing:";"{item:$subject} posted a new bath item listing:"
"{item:$subject} added {var:$count} photo(s) to the bath item listing: {item:$object:$title} {body:$body}";"{item:$subject} added {var:$count} photo(s) to the bath item listing: {item:$object:$title} {body:$body}"
"{item:$subject} posted a new discussion {item:$object:topic} in the bath item listing {itemParent:$object:sitereview}: {body:$body}";"{item:$subject} posted a {item:$object:topic} in the bath item listing {itemParent:$object:sitereview}: {body:$body}"
"{item:$subject} replied to discussion {item:$object:topic} in the bath item listing {itemParent:$object:sitereview_listing}: {body:$body}";"{item:$subject} replied to discussion {item:$object:topic} in the bath item listing {itemParent:$object:sitereview_listing}: {body:$body}"
"{item:$subject} changed the profile picture of the bath item listing {item:$object:$title}:";"{item:$subject} changed the profile picture of the bath item listing {item:$object:$title}:"
"{item:$subject} added a new video in the bath item listing {item:$object:$title}: {body:$body}";"{item:$subject} added a new video in the bath item listing {item:$object:$title}: {body:$body}"
"{item:$subject} added a new video in the bath item listing {item:$object}:";"{item:$subject} added a new video in the bath item listing {item:$object}:"
"{item:$subject} rated and wrote a review for the bath item listing {item:$object}:";"{item:$subject} rated and wrote a review for the bath item listing {item:$object}:"
"{item:$subject} posted a new bath item listing: {item:$object}.";"{item:$subject} posted a new bath item listing: {item:$object}."
"Edit Bath Item Location";"Edit Listing Location"
"Edit the location of your bath item by clicking on 'Edit Bath Item Location' below. You can accurately mark the position of your bath item on the map by dragging-and-dropping the marker on the map at the right position, and then clicking on Save Changes to save the position.";"Edit the location of your listing by clicking on 'Edit Listing Location' below. You can accurately mark the position of your listing on the map by dragging-and-dropping the marker on the map at the right position, and then clicking on Save Changes to save the position."
"You have not added a location for your bath item. %1$sClick here%2$s to add a location for your bath item.";"You have not added a location for your listing. %1$sClick here%2$s to add a location for your listing."
"Post New Bath Item";"Post New Listing"
"Compose your new bath item below, then click 'Submit' to publish the bath item.";"Compose your new listing below, then click 'Submit' to publish the listing."
"Bath Item Title";"Listing Title"
"Who may see this bath item?";"Who may see this listing?"
"Who may comment on this bath item?";"Who may comment on this listing?"
"Who may upload photos for this bath item?";"Who may upload photos for this listing?"
"Who may create videos for this bath item?";"Who may create videos for this listing?"
"Select the networks, members of which should be able to see your bath item. (Press Ctrl and click to select multiple networks. You can also choose to make your bath item viewable to everyone.)";"Select the networks, members of which should be able to see your listing. (Press Ctrl and click to select multiple networks. You can also choose to make your listing viewable to everyone.)"
"Show this bath item in search results";"Show this listing in search results"
"Show this bath item on browse page and in various blocks.";"Show this bath item on browse page and in various blocks."
"SEPARATE_BATH ITEM_TAGS_WITH_COMMAS";"Separate tags with commas."
"Your bath item has been successfully created. You can enhance your bath item from this Dashboard by creating other components.";"Your listing has been successfully created. You can enhance your listing from this Dashboard by creating other components."
"View Bath Item";"View Listing"
"View Bath Item &raquo;";"View Listing &raquo;"
"End bath item on a specific date. (Please select date by clicking on the calendar icon below.)";"End listing on a specific date. (Please select date by clicking on the calendar icon below.)"
"When should this bath item end?";"When should this listing end?"
"Note: your bath item will be expired in %1$s %2$s after an approval or it may be changed by admin.";"Note: your listing will be expired in %1$s %2$s after an approval or it may be changed by admin."
"All Bath";"All Listings"
"Only Open Bath";"Only Open Listings"
"Only Closed Bath";"Only Closed Listings"
"Everyone's Bath";"Everyone's Listings"
"Only My Friends' Bath";"Only My Friends' Listings"
"Bath I Like";"Listings I Like"
"Only Expired Bath";"Only Expired Listings"
"Bath Having";"Listings Having"
"Only Bath With Photos";"Only Listings With Photos"
"Only Bath Item With Photos";"Only Listing With Photos"
"Edit the overview for your bath item using the editor below, and then click 'Save Overview' to save changes.";"Edit the overview for your listing using the editor below, and then click 'Save Overview' to save changes."
"DASHBOARD_BATH ITEM_SAVE_OVERVIEW";"Save Overview"
"DASHBOARD_BATH ITEM_EDIT_OVERVIEW";"Edit Overview"
"Edit Bath Item Overview";"Edit Listing Overview"
"Contact information will be displayed on your bath item profile.";"Contact information will be displayed on your bath item profile."
"ADD_DASHBOARD_BATH ITEM_WHERE_TO_BUY_OPTION";"Add Where to Buy Option"
"EDIT_DASHBOARD_BATH ITEM_WHERE_TO_BUY_OPTION";"Edit Where to Buy"
"Add DASHBOARD_BATH ITEM_WHERE_TO_BUY option for this bath item using the form below. Enter the name of the Store and other details where this bath item is available.";"Add Where to Buy option for this listing using the form below. Enter the name of the Store and other details where this listing is available."
"Select the online store for your bath item from available stores drop-down below.";"Select the online store for your listing from available stores drop-down below."
"Enter the URL of the Store's webpage where this bath item is available. (We recommend you to enter complete URL.)";"Enter the URL of the Store's webpage where this listing is available. (We recommend you to enter complete URL.)"
"Edit Bath Item Style";"Edit Listing Style"
"Edit the CSS style of your bath item using the text area below, and then click 'Save Style' to save changes.";"Edit the CSS style of your listing using the text area below, and then click 'Save Style' to save changes."
"Add your own CSS code above to give your bath item a more personalized look.";"Add your own CSS code above to give your listing a more personalized look."
"Custom Advanced bath item Style";"Custom Advanced listing Style"
